기간,지역,원자력,유연탄,무연탄,유류,LNG
15-Oct,합계,67.20948627,76.99599876,82.3926886,121.5687367,109.0413544
15-Sep,합계,63.70032092,74.52446408,81.27947704,167.3663622,111.8964839
15-Aug,합계,64.87082552,73.85501134,82.11313895,196.3162275,111.9060677
15-Jul,합계,61.83515481,70.96446361,84.30807601,279.5475181,117.0860064
15-Jun,합계,46.42496669,76.13985273,97.56937512,193.9519684,107.4431119
15-May,합계,46.09383814,51.89822958,104.6529871,132.6054599,105.811892
15-Apr,합계,50.0235759,54.08045905,112.4531194,129.3259978,113.9479335
15-Mar,합계,62.34463217,64.92289542,134.232037,145.0829689,142.1255693
15-Feb,합계,64.90546482,67.43956122,143.1518425,182.0172113,153.3439108
15-Jan,합계,76.56840959,73.84935601,164.3736242,214.8612866,169.6617491
14-Dec,합계,44.34461076,62.89287502,92.71964321,203.2870469,159.0671703
14-Nov,합계,52.85629378,65.89022694,89.90670848,243.615897,148.9746947
14-Oct,합계,52.17421426,63.99527541,90.65210828,280.9874608,148.6864604
14-Sep,합계,49.92178616,64.25722387,91.67868727,233.1890605,154.7359897
14-Aug,합계,54.56709575,62.34650782,90.99789334,345.4504341,166.5312879
14-Jul,합계,58.94875987,65.26974523,96.64169845,221.7818205,172.5259161
14-Jun,합계,52.87215004,74.96665344,83.85882811,210.1711418,158.4438943
14-May,합계,55.35317858,61.55133148,82.86861851,210.0027301,160.3860515
14-Apr,합계,57.49358965,63.206557,88.11975553,219.9227006,161.3011001
14-Mar,합계,61.37187646,66.19281302,95.15044535,201.1221745,173.0090852
14-Feb,합계,57.61622733,63.80917607,94.43435921,201.659662,165.0232721
14-Jan,합계,58.89224004,66.88606766,94.7362637,226.9283379,162.2223966
13-Dec,합계,12.84203113,46.01305471,70.60039715,203.7060264,153.9987769
13-Nov,합계,19.46068849,47.72363565,74.6395266,208.3288581,148.3399646
13-Oct,합계,29.15562859,53.09668371,89.43712755,215.4423686,161.6201345
13-Sep,합계,26.65035773,54.58357515,85.20039457,231.9782876,158.2666987
13-Aug,합계,32.72627349,56.82661138,94.51862715,232.6312983,166.9039897
13-Jul,합계,52.48469948,67.28927812,102.9004044,227.7842165,169.920854
13-Jun,합계,48.84956812,63.24140628,90.15944843,229.8655213,162.372152
13-May,합계,47.97603198,61.54474515,90.10872669,230.1851681,156.4623339
13-Apr,합계,51.31067176,62.23139533,96.85465118,219.9364807,165.6437713
13-Mar,합계,48.47597933,63.30732889,91.80642664,213.7344391,162.3669761
13-Feb,합계,48.24412938,61.72956251,101.3096497,212.7322976,160.6022135
13-Jan,합계,52.67065231,67.11492288,105.3518771,232.3117892,164.6500646
12-Dec,합계,28.4450052,48.96202152,73.60983696,237.9370414,147.6850823
12-Nov,합계,25.85991179,51.64820322,78.97060246,240.2866344,136.0162637
12-Oct,합계,27.34083833,53.33304414,68.25572874,249.9020507,154.5502896
12-Sep,합계,25.37241606,55.72939487,77.47182373,257.3607876,157.513812
12-Aug,합계,42.53954494,69.40335322,105.45871,260.4536699,182.5743877
12-Jul,합계,45.70925296,70.58629689,110.2610992,266.8126152,197.7103626
12-Jun,합계,38.92943957,64.26100991,102.5023096,263.4102186,177.8520288
12-May,합계,40.46104874,67.91038038,108.9114569,253.9991482,171.0359872
12-Apr,합계,47.54981764,77.7751285,126.3682795,245.5783571,167.4361087
12-Mar,합계,51.97012088,81.07408344,136.5858084,257.147554,187.2755094
12-Feb,합계,47.9520417,75.8745221,125.9965684,248.6763309,170.273908
12-Jan,합계,51.29545983,80.02739602,129.4265346,258.7179634,172.1588777
11-Dec,합계,39.6371766,71.60993217,97.51112222,241.6711471,158.7670299
11-Nov,합계,38.43693044,66.3369195,95.08742084,257.3701523,157.1277094
11-Oct,합계,34.97695589,64.52207372,87.28245162,276.5174877,143.442931
11-Sep,합계,36.16238093,65.96855597,88.87985012,249.7550374,154.1783865
11-Aug,합계,37.26666873,66.88803948,92.04241528,342.4680526,155.7374383
11-Jul,합계,37.76673951,65.97810913,91.54435515,336.0963906,156.9355374
11-Jun,합계,39.56398217,68.75205839,103.4116805,240.2832541,133.0435382
11-May,합계,39.12765521,68.49574932,106.0452522,296.5347702,132.3886736
11-Apr,합계,39.13500586,67.02943973,103.3439967,218.7915507,126.0570062
11-Mar,합계,40.78655921,69.19848485,101.3180442,186.3175433,129.676745
11-Feb,합계,40.02402006,62.10880262,106.9245461,179.0644196,131.6897421
11-Jan,합계,46.92417148,68.37197899,112.3110688,182.3329601,135.5401389
10-Dec,합계,33.97723862,59.80640454,108.2988972,170.3056148,129.3402477
10-Nov,합계,29.26259787,57.27541622,95.93613522,198.6123832,114.0382368
10-Oct,합계,30.3797222,59.14521433,99.68110539,219.2252895,122.8469316
10-Sep,합계,30.67390224,58.14099081,105.3894987,199.1484171,132.513579
10-Aug,합계,34.82591795,62.76603025,107.4344464,213.9133683,145.3086831
10-Jul,합계,46.36721903,63.03584313,114.4409523,211.2855501,141.0207844
10-Jun,합계,42.95397259,61.01557774,109.223048,184.5552604,131.1745787
10-May,합계,43.74300233,60.87248609,110.7042197,181.4910398,127.7252309
10-Apr,합계,43.8520527,57.74141419,110.9790222,180.6183595,120.0855653
10-Mar,합계,45.62131436,60.79513391,117.8595922,174.4249636,121.9243146
10-Feb,합계,44.53809197,62.2122564,119.4016161,173.4495367,126.0594127
10-Jan,합계,49.31563138,65.72964173,123.5240041,169.4043315,130.6362923
09-Dec,합계,43.93302919,61.0908403,112.8624894,152.0707387,121.8488629
09-Nov,합계,40.38732999,59.92850884,101.509012,160.9851958,117.0013672
09-Oct,합계,33.38070712,54.14613831,88.8842904,272.7189875,108.3862441
09-Sep,합계,32.13557818,54.64163763,83.66021957,221.0135054,98.00132212
09-Aug,합계,35.50909545,56.55363913,93.08581316,248.426636,119.5411414
09-Jul,합계,27.78776746,54.53832388,83.77346666,343.082094,103.5530933
09-Jun,합계,24.50595898,51.89281937,83.76960734,203.9167096,98.02347379
09-May,합계,28.9568271,60.69356174,96.61947744,134.4119474,124.7515787
09-Apr,합계,33.47900252,58.89494248,110.1890772,119.676702,135.302829
09-Mar,합계,36.139092,63.77163434,119.6962614,115.3158537,144.3142074
09-Feb,합계,43.46760084,73.32612244,148.9753015,124.5704807,183.2227741
09-Jan,합계,47.50326752,75.97765756,163.1425883,144.4812233,195.1508413
08-Dec,합계,46.03567692,65.79875743,157.1602996,199.8980276,181.5616579
08-Nov,합계,44.37584261,61.19737286,150.1382717,234.9542147,173.0601309
08-Oct,합계,40.64263873,53.84622665,141.2876231,260.6090052,156.5701932
08-Sep,합계,36.56542545,51.27258297,135.5971115,249.0212013,155.7153274
08-Aug,합계,33.27843741,49.85461648,125.827331,294.0208545,155.6865197
08-Jul,합계,42.62415358,56.11108152,132.5313955,202.3625934,147.1920981
08-Jun,합계,37.65142452,50.89740256,119.0749249,212.499564,134.7214815
08-May,합계,38.72046903,50.14822295,120.2933788,208.6956917,122.7330632
08-Apr,합계,36.88151926,42.23663133,73.87371774,178.0269147,129.9488837
08-Mar,합계,36.76403234,42.29465366,74.29007231,166.8946741,128.4781526
08-Feb,합계,36.48033809,42.18312026,76.69595027,151.8708625,127.2095306
08-Jan,합계,38.6575166,44.42672304,78.49727384,152.1903995,124.0072044
07-Dec,합계,39.24205167,40.69242284,69.34133466,139.0641201,114.122661
07-Nov,합계,39.42384346,40.73202818,68.6798241,132.9264136,109.1640936
07-Oct,합계,39.76861904,40.8653803,69.00709983,135.6847725,104.968749
07-Sep,합계,37.59236505,39.50478985,71.22666573,150.4687361,101.4294309
07-Aug,합계,39.56547159,41.21927692,74.41805116,143.0754713,106.7160614
07-Jul,합계,40.44861078,42.00483816,76.93908867,150.6485004,103.250021
07-Jun,합계,39.14112509,40.7587009,58.56831585,118.914635,100.7746343
07-May,합계,39.38426463,40.70341035,55.89143258,106.1159753,99.10538614
07-Apr,합계,39.42183946,40.75334379,55.31676364,109.5186947,99.63048069
07-Mar,합계,39.28499068,40.97304102,55.99479362,103.852393,105.011512
07-Feb,합계,38.43669334,40.15747067,60.35019974,102.2200409,102.6287459
07-Jan,합계,40.93989923,42.39506584,68.21589031,104.9609086,107.8454052
06-Dec,합계,37.44524588,38.09278051,49.58932461,104.7549717,106.4107475
06-Nov,합계,36.84178021,37.65675539,52.76479018,106.2508073,107.0534769
06-Oct,합계,37.25937903,34.95696342,61.64345755,138.1054166,110.5837469
06-Sep,합계,36.88584299,34.35737939,57.11651626,133.3116952,104.2281665
06-Aug,합계,36.97710561,33.75070425,58.21904211,134.0080736,106.9314276
06-Jul,합계,37.09503744,34.22851722,63.28999322,168.4418447,101.8239796
06-Jun,합계,37.41127237,34.68959728,58.14018697,136.8574508,96.1798049
06-May,합계,39.65381922,41.92553588,54.25601563,149.6342287,102.174629
06-Apr,합계,39.96295831,42.54555556,50.92485142,125.5786192,99.72232724
06-Mar,합계,39.71306708,42.36674221,49.5921391,112.0758143,99.20877717
